epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,215.003,0.54398,0.85382,0.93042,0.49614,0.07276,0.05323,0.03749,1.15151,2.43422,1.32309,0.00328431,0.00328431,0.0704412
2,417.207,0.55972,0.88967,0.93437,0.26907,0.07019,0.04199,0.02961,1.20298,2.4663,1.35233,0.0059625,0.0059625,0.039786
3,611.789,0.58969,0.97917,0.94375,0.37739,0.06844,0.04359,0.03057,1.29951,2.53448,1.43538,0.00798069,0.00798069,0.00847088
4,797.439,0.65399,1.06144,0.97864,0.18957,0.13447,0.08092,0.05189,1.28283,2.1983,1.41972,0.00703,0.00703,0.00703
5,986.095,0.66171,1.08621,0.98811,0.2705,0.09133,0.05591,0.0401,1.28976,2.31759,1.39541,0.00604,0.00604,0.00604
6,1197.41,0.62101,0.98413,0.95917,0.29719,0.07981,0.0503,0.03764,1.30294,2.62924,1.42647,0.00505,0.00505,0.00505
7,2334.27,0.60791,0.95232,0.95762,0.6063,0.06998,0.04914,0.03581,1.27261,2.6049,1.39963,0.00406,0.00406,0.00406
8,2842.1,0.5554,0.86315,0.93173,0.54972,0.06523,0.04393,0.03183,1.21401,2.58166,1.37733,0.00307,0.00307,0.00307
9,3741.15,0.51933,0.76711,0.90662,0.55048,0.09036,0.06557,0.04588,1.21696,2.56066,1.37733,0.00208,0.00208,0.00208
10,4374.78,0.50161,0.70538,0.9038,0.59231,0.08684,0.06402,0.04562,1.18919,2.66219,1.3493,0.00109,0.00109,0.00109
