epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,212.182,0.5875,0.80087,0.94665,0.38202,0.06786,0.04693,0.03405,1.23937,2.7476,1.39429,0.00328283,0.00328283,0.0704545
2,423.23,0.56993,0.77656,0.92919,0.42662,0.07027,0.05257,0.03684,1.27641,2.96483,1.43312,0.00596116,0.00596116,0.0397995
3,639.936,0.59571,0.80452,0.94219,0.33456,0.10277,0.06445,0.04388,1.30837,2.46096,1.45313,0.00797949,0.00797949,0.00848455
4,841.367,0.62836,0.8858,0.96129,0.37625,0.10613,0.06802,0.04648,1.34416,2.34882,1.45491,0.00703,0.00703,0.00703
5,1041.25,0.6309,0.89236,0.95535,0.41094,0.07645,0.04833,0.03254,1.39552,2.69944,1.51347,0.00604,0.00604,0.00604
6,1242.84,0.61518,0.84898,0.95612,0.41167,0.10119,0.0642,0.03816,1.36728,2.66079,1.48402,0.00505,0.00505,0.00505
7,1464.42,0.5939,0.76924,0.93585,0.32791,0.07468,0.05614,0.03881,1.31377,2.81747,1.43941,0.00406,0.00406,0.00406
8,1668.1,0.5459,0.68305,0.9152,0.40925,0.08715,0.06014,0.04153,1.30865,2.77178,1.45984,0.00307,0.00307,0.00307
9,1866.67,0.52523,0.63968,0.9074,0.44171,0.06961,0.05076,0.03618,1.29219,3.17852,1.44142,0.00208,0.00208,0.00208
10,2064.51,0.51395,0.58126,0.90362,0.35428,0.06786,0.05016,0.03512,1.27773,3.2081,1.43577,0.00109,0.00109,0.00109
