epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,219.698,0.52501,0.72443,0.91438,0.56669,0.07521,0.05411,0.03772,1.25107,2.85033,1.41094,0.00328571,0.00328571,0.0704286
2,427.683,0.53572,0.74966,0.92339,0.35214,0.07345,0.04901,0.03358,1.25414,2.72705,1.42172,0.00596376,0.00596376,0.0397733
3,652.68,0.57198,0.80796,0.92652,0.34224,0.09325,0.05628,0.03815,1.32535,2.34719,1.45072,0.00798181,0.00798181,0.008458
4,882.347,0.60933,0.91812,0.95071,0.39788,0.06661,0.04513,0.03241,1.38072,2.67425,1.5367,0.00703,0.00703,0.00703
5,1089.61,0.61035,0.89791,0.95315,0.34839,0.10355,0.06662,0.04523,1.36996,2.4639,1.49817,0.00604,0.00604,0.00604
6,1308.07,0.59964,0.83889,0.95237,0.3795,0.1005,0.06684,0.04551,1.33945,2.47682,1.46631,0.00505,0.00505,0.00505
7,1512.93,0.57285,0.78473,0.93443,0.35267,0.10223,0.06743,0.04271,1.27948,2.54457,1.45029,0.00406,0.00406,0.00406
8,1727.35,0.53365,0.71382,0.92149,0.49204,0.07248,0.05082,0.03711,1.24347,2.97483,1.41266,0.00307,0.00307,0.00307
9,1945.84,0.50625,0.63864,0.90245,0.59435,0.07339,0.05432,0.03999,1.26405,3.00528,1.42431,0.00208,0.00208,0.00208
10,2135.12,0.49727,0.58072,0.89746,0.56996,0.08335,0.06235,0.04279,1.24975,2.89811,1.41048,0.00109,0.00109,0.00109
