epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,202.903,0.57929,0.9121,0.9476,0.45949,0.07945,0.05574,0.04069,1.20878,2.47064,1.33402,0.00328205,0.00328205,0.0704615
2,403.039,0.5907,0.91307,0.94944,0.64829,0.04775,0.037,0.02823,1.24703,2.86666,1.37819,0.00596046,0.00596046,0.0398066
3,619.406,0.61947,0.94859,0.9543,0.19445,0.10091,0.03989,0.02528,1.35709,2.61273,1.44185,0.00797887,0.00797887,0.00849169
4,815.57,0.65871,1.04842,0.98329,0.28659,0.10188,0.06492,0.04263,1.33003,2.2091,1.44863,0.00703,0.00703,0.00703
5,1015.57,0.66814,1.0432,0.98435,0.34244,0.07832,0.05228,0.03495,1.32334,2.46209,1.43467,0.00604,0.00604,0.00604
6,1254.17,0.64077,0.99661,0.97066,0.36218,0.06764,0.05033,0.03302,1.33057,2.62828,1.44874,0.00505,0.00505,0.00505
7,1462.37,0.61973,0.89739,0.96113,0.30559,0.08264,0.06009,0.04101,1.26214,2.43802,1.42046,0.00406,0.00406,0.00406
8,1677.62,0.5881,0.83869,0.94231,0.37235,0.08353,0.05872,0.03872,1.24142,2.50475,1.37324,0.00307,0.00307,0.00307
9,1877.62,0.55377,0.77671,0.92865,0.4191,0.08717,0.06173,0.04374,1.23334,2.60728,1.40134,0.00208,0.00208,0.00208
10,2067.6,0.53692,0.69974,0.92241,0.61687,0.0719,0.05529,0.03797,1.22922,2.94761,1.3982,0.00109,0.00109,0.00109
