epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,236.113,0.58298,0.80976,0.95112,0.4561,0.08593,0.06258,0.0412,1.28473,2.65709,1.41883,0.00328502,0.00328502,0.0704348
2,588.117,0.56745,0.78154,0.9289,0.35381,0.09388,0.06408,0.043,1.3163,2.50443,1.46499,0.00596314,0.00596314,0.0397796
3,782.28,0.5938,0.83186,0.94522,0.40736,0.11331,0.07218,0.04715,1.2953,2.3364,1.44602,0.00798126,0.00798126,0.00846435
4,1001.17,0.62695,0.90163,0.96599,0.32707,0.06105,0.04219,0.03039,1.43422,2.93005,1.55447,0.00703,0.00703,0.00703
5,1203.67,0.62737,0.89414,0.96183,0.23653,0.08145,0.04996,0.03411,1.3985,2.48746,1.52117,0.00604,0.00604,0.00604
6,1410.66,0.60115,0.81784,0.95455,0.35422,0.0716,0.05172,0.03624,1.32519,2.75472,1.47665,0.00505,0.00505,0.00505
7,1613.7,0.57906,0.77998,0.94218,0.3914,0.05028,0.03508,0.02561,1.31865,2.96353,1.45882,0.00406,0.00406,0.00406
8,1820.4,0.54762,0.6881,0.92013,0.42486,0.07022,0.05089,0.03595,1.26566,2.89454,1.4281,0.00307,0.00307,0.00307
9,2034.84,0.52337,0.63677,0.90832,0.33049,0.06944,0.0489,0.03622,1.30042,3.01582,1.43825,0.00208,0.00208,0.00208
10,2250.43,0.49854,0.58306,0.89264,0.35365,0.06521,0.04838,0.03434,1.28721,3.20759,1.43211,0.00109,0.00109,0.00109
