epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1180.47,0.6722,1.03938,0.99237,0.58384,0.1019,0.07398,0.05152,1.21048,2.31552,1.33226,0.00329167,0.00329167,0.070375
2,1400.81,0.65848,1.00727,0.97463,0.45943,0.08593,0.05817,0.04051,1.25617,2.46825,1.38427,0.00596912,0.00596912,0.0397191
3,2225.11,0.68011,1.02641,0.98845,0.5163,0.08693,0.05749,0.03845,1.31428,2.72235,1.40906,0.00798658,0.00798658,0.00840325
4,2438.31,0.72233,1.11043,1.01107,0.32,0.08745,0.04775,0.03146,1.44946,2.51504,1.54897,0.00703,0.00703,0.00703
5,2746.58,0.71886,1.06119,1.01578,0.46356,0.08129,0.04817,0.03411,1.32137,2.35431,1.41752,0.00604,0.00604,0.00604
6,3078.07,0.70133,1.01376,1.00757,0.29968,0.07755,0.05388,0.03807,1.30206,2.731,1.43445,0.00505,0.00505,0.00505
7,3360.96,0.65153,0.92563,0.98077,0.54647,0.09996,0.06719,0.0427,1.29833,2.47814,1.42218,0.00406,0.00406,0.00406
8,3593.19,0.62022,0.86152,0.96049,0.39677,0.10386,0.07271,0.0504,1.2591,2.5136,1.37472,0.00307,0.00307,0.00307
9,3836.71,0.60414,0.81277,0.95467,0.41949,0.10251,0.06953,0.04823,1.22065,2.4625,1.37363,0.00208,0.00208,0.00208
10,4086.13,0.56725,0.72636,0.93436,0.5759,0.08743,0.06372,0.04433,1.24864,2.795,1.39034,0.00109,0.00109,0.00109
