epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.1658,1.57576,3.87704,1.58599,0.14699,0.01748,0.00707,0.00545,1.23117,3.39392,1.40751,0.0009,0.0009,0.0919
2,107.856,1.39528,2.99889,1.51086,0.09479,0.12699,0.03924,0.02459,1.19683,2.99598,1.43831,0.0015238,0.0015238,0.0825238
3,154.816,1.25052,2.406,1.4283,0.12408,0.16132,0.06909,0.04412,1.11682,2.54906,1.39317,0.0017516,0.0017516,0.0727516
4,200.972,1.17159,2.16413,1.36561,0.20503,0.1925,0.08677,0.0565,1.12453,2.50887,1.36334,0.0015834,0.0015834,0.0625834
5,248.002,1.16257,1.99703,1.35079,0.25453,0.22242,0.11522,0.0721,1.0787,2.3347,1.33309,0.0010192,0.0010192,0.0520192
