epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.5627,1.57576,3.87704,1.58599,0.07294,0.07835,0.02961,0.01697,1.23117,3.39392,1.40751,0.0009,0.0009,0.0919
2,186.47,1.38887,2.94785,1.50647,0.07317,0.10598,0.0496,0.0291,1.19565,3.23187,1.43589,0.00186238,0.00186238,0.0828624
