epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,223.879,0.73654,1.86483,1.0495,0.2911,0.05303,0.03683,0.02653,1.10149,2.50004,1.28183,0.00329268,0.00329268,0.0703659
2,455.711,0.72608,1.55399,1.01985,0.45715,0.14706,0.07182,0.04897,1.10793,2.20918,1.27169,0.00597004,0.00597004,0.0397099
3,701.193,0.76494,1.50669,1.02228,0.16584,0.09951,0.03928,0.02801,1.35506,2.54039,1.45356,0.0079874,0.0079874,0.0083939
4,922.907,0.85937,1.55994,1.07105,0.12632,0.06106,0.02304,0.01394,1.55544,2.54269,1.63679,0.00703,0.00703,0.00703
5,1148.41,0.85025,1.49159,1.0612,0.184,0.13844,0.07232,0.04522,1.36508,2.24586,1.51417,0.00604,0.00604,0.00604
6,1386.91,0.81026,1.42456,1.05311,0.30831,0.12325,0.07749,0.05427,1.23035,2.18217,1.40416,0.00505,0.00505,0.00505
7,1625.17,0.7678,1.3669,1.02901,0.51098,0.10897,0.07203,0.04893,1.21171,2.22393,1.37951,0.00406,0.00406,0.00406
8,1855.3,0.72222,1.2928,1.00651,0.31371,0.13983,0.0923,0.06484,1.15711,2.0279,1.31806,0.00307,0.00307,0.00307
9,2081.26,0.671,1.20065,0.98361,0.28705,0.12009,0.07984,0.05747,1.12224,2.06788,1.31865,0.00208,0.00208,0.00208
10,2328.25,0.6333,1.1282,0.96656,0.57646,0.11723,0.0841,0.06094,1.09415,2.16634,1.29085,0.00109,0.00109,0.00109
